country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Myanmar,Asia,142059,3200.0,131702.0,7157.0,,2599,59.0,2505402.0,45836.0,54660305
Namibia,Africa,40337,444.0,37893.0,2000.0,28.0,15681,173.0,314993.0,122454.0,2572331
Nepal,Asia,274973,3012.0,271050.0,911.0,,9323,102.0,2203438.0,74706.0,29494729
Netherlands,Europe,1128202,15917.0,,,556.0,65742,928.0,6970400.0,406178.0,17160963
New Caledonia,Australia/Oceania,74,,58.0,16.0,,257,,24021.0,83586.0,287380
New Zealand,Australia/Oceania,2410,26.0,2304.0,80.0,,482,5.0,1795324.0,358914.0,5002100
Nicaragua,North America,6537,175.0,4225.0,2137.0,,979,26.0,,,6678549
Niger,Africa,4835,177.0,4415.0,243.0,23.0,195,7.0,82995.0,3347.0,24799309
Nigeria,Africa,159252,1988.0,139056.0,18208.0,10.0,760,9.0,1601396.0,7640.0,209616674
Norway,Europe,76484,632.0,66014.0,9838.0,19.0,14033,116.0,3910562.0,717490.0,5450339
Oman,Asia,144831,1597.0,135005.0,8229.0,75.0,27879,307.0,1550000.0,298365.0,5194982
Pakistan,Asia,595239,13324.0,565216.0,16699.0,1664.0,2659,60.0,9318038.0,41632.0,223819585
Panama,North America,345759,5944.0,333005.0,6810.0,195.0,79281,1363.0,1977198.0,453360.0,4361210
Papua New Guinea,Australia/Oceania,1741,16.0,846.0,879.0,,192,2.0,47490.0,5240.0,9062720
Paraguay,South America,171985,3360.0,142893.0,25732.0,324.0,23912,467.0,786625.0,109367.0,7192549
Peru,South America,1380023,48163.0,1288067.0,43793.0,2192.0,41459,1447.0,7986252.0,239927.0,33286198
Philippines,Asia,603308,12545.0,546293.0,44470.0,785.0,5456,113.0,9139683.0,82653.0,110579574
Poland,Europe,1828313,45997.0,1507905.0,274411.0,1902.0,48345,1216.0,10396659.0,274913.0,37818045
Portugal,Europe,811306,16595.0,734218.0,60493.0,312.0,79726,1631.0,8429713.0,828375.0,10176204
Qatar,Asia,167888,264.0,156612.0,11012.0,116.0,59793,94.0,1591056.0,566655.0,2807805
Reunion,Africa,13801,71.0,12389.0,1341.0,58.0,15340,79.0,98785.0,109798.0,899699
Romania,Europe,840116,21156.0,770854.0,48106.0,1140.0,43872,1105.0,6611402.0,345260.0,19149049
Russia,Europe,4351553,90275.0,3945527.0,315751.0,2300.0,29810,618.0,113800000.0,779572.0,145977558
Rwanda,Africa,19779,270.0,18033.0,1476.0,20.0,1502,21.0,1043645.0,79240.0,13170723
Saint Barthelemy,North America,638,1.0,462.0,175.0,,64457,101.0,19114.0,1931097.0,9898
Saint Kitts And Nevis,North America,41,,41.0,0.0,,767,,9895.0,185102.0,53457
Saint Lucia,North America,3902,46.0,3595.0,261.0,2.0,21183,250.0,33074.0,179551.0,184204
Saint Martin,North America,1571,12.0,1399.0,160.0,7.0,40162,307.0,22204.0,567630.0,39117
Saint Pierre And Miquelon,North America,24,,24.0,0.0,,4157,,3729.0,645826.0,5774
Saint Vincent And The Grenadines,North America,1670,8.0,1107.0,555.0,2.0,15020,72.0,37889.0,340784.0,111182
Samoa,Australia/Oceania,3,,2.0,1.0,,15,,,,199319
San Marino,Europe,3984,77.0,3457.0,450.0,9.0,117245,2266.0,45513.0,1339406.0,33980
Sao Tome And Principe,Africa,1977,32.0,1649.0,296.0,,8908,144.0,11592.0,52231.0,221938
Saudi Arabia,Asia,380572,6539.0,371338.0,2695.0,515.0,10816,186.0,14076117.0,400064.0,35184626
Senegal,Africa,36195,935.0,31467.0,3793.0,40.0,2124,55.0,405705.0,23803.0,17043964
Serbia,Europe,494106,4599.0,400347.0,89160.0,189.0,56708,528.0,3072096.0,352584.0,8713088
Seychelles,Africa,3032,15.0,2809.0,208.0,,30699,152.0,5200.0,52650.0,98765
Sierra Leone,Africa,3922,79.0,2741.0,1102.0,,485,10.0,116448.0,14398.0,8087641
Singapore,Asia,60062,29.0,59905.0,128.0,1.0,10211,5.0,7805264.0,1326992.0,5881924
Sint Maarten,North America,2076,27.0,2031.0,18.0,1.0,48044,625.0,21103.0,488382.0,43210
Slovakia,Europe,329593,8146.0,255300.0,66147.0,693.0,60349,1492.0,2154136.0,394425.0,5461463
Slovenia,Europe,197374,3908.0,183002.0,10464.0,92.0,94931,1880.0,956075.0,459843.0,2079135
Solomon Islands,Australia/Oceania,18,,14.0,4.0,,26,,4500.0,6444.0,698349
Somalia,Africa,8577,319.0,4031.0,4227.0,,530,20.0,,,16194484
South Africa,Africa,1522697,50906.0,1444282.0,27509.0,546.0,25454,851.0,9299884.0,155462.0,59820794
South Korea,Asia,93733,1648.0,84312.0,7773.0,123.0,1827,32.0,6938884.0,135262.0,51299567
South Sudan,Africa,8870,102.0,4914.0,3854.0,8.0,786,9.0,116018.0,10282.0,11283640
Spain,Europe,3164983,71727.0,2823433.0,269823.0,2358.0,67675,1534.0,40292390.0,861551.0,46767250
Sri Lanka,Asia,86343,511.0,82753.0,3079.0,,4021,24.0,2194290.0,102179.0,21474981
State Of Palestine,Asia,200382,2170.0,178121.0,20091.0,155.0,38667,419.0,1245509.0,240344.0,5182186
Sudan,Africa,28766,1915.0,23268.0,3583.0,,646,43.0,,,44546549
Suriname,South America,8985,175.0,8487.0,323.0,2.0,15223,296.0,42033.0,71214.0,590238
Swaziland,Africa,17191,658.0,15448.0,1085.0,36.0,14713,563.0,154809.0,132497.0,1168400
Sweden,Europe,695975,13042.0,,,216.0,68620,1286.0,6378529.0,628890.0,10142523
Switzerland,Europe,566412,10065.0,521912.0,34435.0,167.0,65119,1157.0,5286832.0,607816.0,8698077
Syria,Asia,16117,1074.0,10541.0,4502.0,,906,60.0,,,17790059
Taiwan,Asia,978,10.0,936.0,32.0,,41,,444634.0,18646.0,23846445
Tajikistan,Asia,13308,90.0,13218.0,0.0,,1374,9.0,,,9683614
Tanzania,Africa,509,21.0,183.0,305.0,7.0,8,,,,60889852
Thailand,Asia,26540,85.0,25946.0,509.0,1.0,380,1.0,1588637.0,22721.0,69920493
Timor Leste,Asia,145,,94.0,51.0,,109,,23131.0,17319.0,1335586
Togo,Africa,7680,92.0,6460.0,1128.0,,913,11.0,247179.0,29388.0,8410866
Trinidad And Tobago,North America,7736,140.0,7503.0,93.0,2.0,5515,100.0,99115.0,70665.0,1402605
Tunisia,Africa,238613,8268.0,205176.0,25169.0,273.0,20046,695.0,1011915.0,85011.0,11903400
Turkey,Asia,2807387,29160.0,2640669.0,137558.0,1289.0,33043,343.0,34403108.0,404928.0,84961145
Turks And Caicos Islands,North America,2177,15.0,2020.0,142.0,5.0,55712,384.0,17366.0,444416.0,39076
Uganda,Africa,40490,334.0,15075.0,25081.0,,867,7.0,894547.0,19147.0,46720520
UK,Europe,4228998,124797.0,3315934.0,788267.0,1356.0,62071,1832.0,98133566.0,1440364.0,68131084
Ukraine,Europe,1416438,27423.0,1204916.0,184099.0,177.0,32523,630.0,7154442.0,164272.0,43552328
United Arab Emirates,Asia,417909,1353.0,398126.0,18430.0,,41907,136.0,32883045.0,3297452.0,9972260
Uruguay,South America,65527,666.0,56399.0,8462.0,88.0,18819,191.0,1079088.0,309904.0,3482010
USA,North America,29801506,540574.0,20549678.0,8711254.0,12714.0,89673,1627.0,371894718.0,1119032.0,332336197
Uzbekistan,Asia,80268,622.0,78994.0,652.0,27.0,2375,18.0,1377915.0,40765.0,33801081
Vanuatu,Australia/Oceania,3,,1.0,2.0,,10,,470.0,1506.0,312033
Venezuela,South America,143321,1399.0,135389.0,6533.0,139.0,5050,49.0,2962352.0,104380.0,28380376
Viet Nam,Asia,2529,35.0,2004.0,490.0,,26,,2598753.0,26534.0,97939424
Wallis And Futuna Islands,Australia/Oceania,48,,7.0,41.0,1.0,4324,,1202.0,108269.0,11102
Western Sahara,Africa,10,1.0,8.0,1.0,,16,2.0,,,607335
Yemen,Asia,2586,654.0,1451.0,481.0,23.0,85,22.0,17404.0,575.0,30273670
Zambia,Africa,82897,1137.0,79162.0,2598.0,181.0,4425,61.0,1138369.0,60766.0,18733742
Zimbabwe,Africa,36321,1489.0,33919.0,913.0,25.0,2420,99.0,353701.0,23563.0,15010955
